Lenovo Thinkpad T440p ,20AW0009CD,PB01B449,sha-win-230,xinfen01,AE,,20672
Lenovo Thinkpad T440p ,20AW000BCD,PB01KA6G,sha-win-231,flofen01,R&D(MPEG),,20671
lenovo thinkpad x240 ,20AM001LCD,PB01VCC5,sha-win-233,binche01,R&D(PDSW),,20697
lenovo thinkpad x240 ,20AM0016CD,PF010EY3,sha-win-234,evagu01,HR,,20700
Lenovo Thinkpad T440p ,20AW000BCD,PB01GZWJ,sha-win-235,jefyan01,R&D(MPEG),,20701
Lenovo Thinkpad T440p ,20AW0009CD,PB010JPY,sha-win-236,liswliu01,AE,,20702
Lenovo Thinkpad T440p ,20AW000BCD,PB01KA6C,sha-win-237,ninshi01,R&D(MPEG),,20704
lenovo thinkpad x240 ,20ALA0CSCD,PB015Z4A,sha-win-238,emmma01,admin,,20707
lenovo thinkpad x240 ,20AMS3R604,PB036ZEN,sha-win-241,davche01,,,20716
lenovo thinkpad x240 ,20AMS3R604,PB036YNR,sha-win-242,lifgen01,,,20717
lenovo thinkpad x240 ,20AMS3R604,PB036YNQ,sha-win-243,kevqin01,R&D(PDSW),,20724
Lenovo thinkpad T440S,20ARS24P9E,PF0305JU,sha-win-244,frayan01,ae,,20723
Lenovo thinkpad T440S,20ARS24P0E,PF0384F0,sha-win-246,yupluo01,AE,,20725
Lenovo thinkpad T440S,20ARS24P0E,PF0384F1,sha-win-247,ninjia01,HOME,,20726
Lenovo thinkpad T440S,20ARS24P0E,PE034PMC,sha-win-248,junxu01,R&D(MPEG),,20727
Lenovo Thinkpad X1 ,20A7S00100 ,R900RF28,sha-win-250,hopzha01,sales,,20657
Lenovo Thinkpad X1 ,20A7S00100 ,R900RF4C,sha-win-251,nanwan01 ,op,,20652
Lenovo Thinkpad T440p ,,,sha-win-252,terguo01,R&D(PDSW),,20651
lenovo thinkpad x240 ,20ALA0CSCD,PB015ZM2,sha-win-253,nicsun01,Marketing,,20703
Lenovo thinkpad T440S,20ARS24P0E,PF03829Z,sha-win-256,shexu01,R&D(MPEG),,20728
Lenovo thinkpad T440S,20ARS24P0E,PF03HT8V,sha-win-257,riczhu01,,,20729
Lenovo thinkpad T440S,20ARS24P0E,PF03RECQ,sha-win-259,sunsun02,,,20731
Lenovo thinkpad T440S,20ARS24P0E,PF03RCE5,sha-win-260,liazha01,R&D(MPEG),,20732
Lenovo thinkpad T440S,20ARS24P0E,PF03RECC,sha-win-261,marxu01,,,20735
Lenovo thinkpad T440S,20ARS24P0E,PF03XR1M,sha-win-262,wenshe02,,,20736
Lenovo thinkpad T440S,20ARS24P0E,PF04EUM8,sha-win-263,xuepan01,,,20553
Lenovo thinkpad X1,20A8S0QF02,R90BHZ0P,sha-win-265,jerguo01,,,20558
Lenovo Thinkpad T440p ,20AW000RCD,PC02DNBJ,sha-win-267,jendu01,,,20561
Lenovo thinkpad T440S,20ARS24P0E,PF06FWCG,sha-win-269,feiyan01,,,20564
lenovo thinkpad x230 ,23243WC,PK1PZ9M,sha-win-285,marwan01,,,20610
Lenovo thinkpad T440S,20ARS24P0E,PF04EULP,sha-win-298,kaiqiN01,,,20560
lenovo thinkpad  x230,23201D6,R9XHRVZ,SHA-WIN-299,,,,20504
Lenovo Thinkpad T420s,4171-A22,R9F5HMN,SHA-WIN-SUNNY,,,,20140
lenovo thinkpad T430 ,2349G7C,PB3XXCF,,,,,20506
